STT,Vị trí đo đạc,Mẫu,Tọa độ,Ký hiệu mẫu
32,"Ngã tư giao thông, giao giữa đường Nguyễn Văn Linh và Trần Quang Khải, TP. Hưng Yên",VOCs (7h-9h),"N:20º40’15.522’’, E:106º3’33.18’’",HY.VT03.1007.VOCs.01
33,"Ngã tư giao thông, giao giữa đường Nguyễn Văn Linh và Trần Quang Khải, TP. Hưng Yên",VOCs (14h30-16h30h),"N:20º40’15.522’’, E:106º3’33.18’’",HY.VT03.1007.VOCs.02
34,"Ngã tư giao thông, giao giữa đường Nguyễn Văn Linh và Trần Quang Khải, TP. Hưng Yên",VOCs (20h-22h),"N:20º40’15.522’’, E:106º3’33.18’’",HY.VT03.1007.VOCs.03
35,"Ngã tư giao thông, giao giữa đường Nguyễn Văn Linh và Trần Quang Khải, TP. Hưng Yên",PM10 (24h),"N:20º40’15.522’’, E:106º3’33.18’’",HY.VT03.1007.PM10.01
36,"Ngã tư giao thông, giao giữa đường Nguyễn Văn Linh và Trần Quang Khải, TP. Hưng Yên",PM2.5 (24h),"N:20º40’15.522’’, E:106º3’33.18’’",HY.VT03.1007.PM2.5.01
37,"Công viên Bạch Đằng, Đường Đoàn Kết,Phường Quang Trung, TP. Hải Dương",VOCs (7h-9h),"N:20º56’32.385’’, E:106º20’22.255’’",HD.VT01.1307.VOCs.01
38,"Công viên Bạch Đằng, Đường Đoàn Kết,Phường Quang Trung, TP. Hải Dương",VOCs (14h30-16h30h),"N:20º56’32.385’’, E:106º20’22.255’’",HD.VT01.1307.VOCs.02
39,"Công viên Bạch Đằng, Đường Đoàn Kết,Phường Quang Trung, TP. Hải Dương",VOCs (20h-22h),"N:20º56’32.385’’, E:106º20’22.255’’",HD.VT01.1307.VOCs.03
40,"Công viên Bạch Đằng, Đường Đoàn Kết,Phường Quang Trung, TP. Hải Dương",PM10 (24h),"N:20º56’32.385’’, E:106º20’22.255’’",HD.VT01.1307.PM10.01
41,"Công viên Bạch Đằng, Đường Đoàn Kết,Phường Quang Trung, TP. Hải Dương",PM2.5 (24h),"N:20º56’32.385’’, E:106º20’22.255’’",HD.VT01.1307.PM2.5.01
42,"Nhà dân số 25 Đường Nguyễn Tri Phương, phường Bình Hân, TP. Hải Dương",VOCs (7h-9h),"N:20º56’54.151’’, E:106º20’17.437’’",HD.VT02.1307.VOCs.01
43,"Nhà dân số 25 Đường Nguyễn Tri Phương, phường Bình Hân, TP. Hải Dương",VOCs (14h30-16h30h),"N:20º56’54.151’’, E:106º20’17.437’’",HD.VT02.1307.VOCs.02
44,"Nhà dân số 25 Đường Nguyễn Tri Phương, phường Bình Hân, TP. Hải Dương",VOCs (20h-22h),"N:20º56’54.151’’, E:106º20’17.437’’",HD.VT02.1307.VOCs.03
45,"Nhà dân số 25 Đường Nguyễn Tri Phương, phường Bình Hân, TP. Hải Dương",PM10 (24h),"N:20º56’54.151’’, E:106º20’17.437’’",HD.VT02.1307.PM10.01
46,"Nhà dân số 25 Đường Nguyễn Tri Phương, phường Bình Hân, TP. Hải Dương",PM2.5 (24h),"N:20º56’54.151’’, E:106º20’17.437’’",HD.VT02.1307.PM2.5.01
47,"Nút giao thông vòng xuyến Ngọc Châu, giao Đường Thanh Niên, Trần Hưng Đạo, phường Trần Phú, TP. Hải Dương ",VOCs (7h-9h),"N:20º56’15.108’’, E:106º20’13.875’’",HD.VT03.1307.VOCs.01
48,"Nút giao thông vòng xuyến Ngọc Châu, giao Đường Thanh Niên, Trần Hưng Đạo, phường Trần Phú, TP. Hải Dương ",VOCs (14h30-16h30h),"N:20º56’15.108’’, E:106º20’13.875’’",HD.VT03.1307.VOCs.02
49,"Nút giao thông vòng xuyến Ngọc Châu, giao Đường Thanh Niên, Trần Hưng Đạo, phường Trần Phú, TP. Hải Dương ",VOCs (20h-22h),"N:20º56’15.108’’, E:106º20’13.875’’",HD.VT03.1307.VOCs.03
50,"Nút giao thông vòng xuyến Ngọc Châu, giao Đường Thanh Niên, Trần Hưng Đạo, phường Trần Phú, TP. Hải Dương ",PM10 (24h),"N:20º56’15.108’’, E:106º20’13.875’’",HD.VT03.1307.PM10.01
51,"Nút giao thông vòng xuyến Ngọc Châu, giao Đường Thanh Niên, Trần Hưng Đạo, phường Trần Phú, TP. Hải Dương ",PM2.5 (24h),"N:20º56’15.108’’, E:106º20’13.875’’",HD.VT03.1307.PM2.5.01
